ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
1,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,5,5,3,5,5,3,3,5,4,4,4,3,5,4,NA,NA,5,NA,NA,NA,5,Mujer,18,491.0104657
2,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Science Fiction;humour/comédie;aventure/action,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,6,1,1,6,6,4,6,3,6,6,NA,NA,NA,NA,5,NA,NA,Hombre,19,245.4334084
3,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Drama;Thriller,2,NA,2,NA,NA,5,NA,5,NA,NA,NA,NA,5,5,NA,NA,3,4,5,1,3,6,6,4,4,4,6,6,5,NA,NA,NA,5,NA,5,Hombre,18,266.9330984
4,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,TV réalité;aventure/action;romantique,6,NA,NA,5,NA,NA,NA,5,5,NA,NA,5,NA,NA,5,5,4,5,6,3,5,5,5,3,6,4,6,6,NA,NA,NA,NA,5,NA,NA,Mujer,18,358.9076133
5,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,TV réalité;drame;romantique,6,NA,NA,NA,2,NA,NA,5,5,5,5,5,NA,NA,NA,NA,6,6,6,3,4,4,4,4,4,3,5,5,NA,5,5,NA,5,NA,5,Mujer,19,373.0964668
6,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Science Fiction;humour/comédie;aventure/action,6,NA,NA,5,NA,NA,NA,5,NA,5,5,NA,5,NA,5,NA,2,4,4,5,3,6,6,5,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,Hombre,20,286.5866532
7,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,Romantica,6,NA,NA,NA,2,NA,2,NA,NA,NA,5,NA,5,5,NA,NA,4,4,5,3,6,3,2,3,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,Mujer,17,287.1211129
8,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 1 y 2 horas,Ciencia Ficcion;Terror;Aventura/Accion,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,2,3,3,3,2,3,2,3,NA,NA,NA,NA,5,NA,NA,Mujer,20,394.3080286
9,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Science Fiction;humour/comédie;aventure/action,3,5,5,NA,1,NA,NA,5,NA,NA,NA,NA,1,NA,5,1,5,4,5,1,6,6,6,3,6,4,6,6,NA,NA,NA,1,1,NA,NA,Hombre,19,273.5949608
10,Netflix;Canal+ série et/ou film;autre (précisez),Entre 0 y 30 minutos,humour/comédie;jeunesse et famille;romantique,6,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,4,5,6,5,5,6,5,4,5,5,5,NA,5,NA,5,NA,NA,NA,Mujer,19,542.5628065
